name,lat,lng,image,jhno,pno,image_real
1,35.657747,139.341498,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/001.jpg,88,0,https://hachioji-civictech.github.io/hachioji-wrap20/photo/1.jpg
2,35.657625,139.341305,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/002.jpg,88,"19,18",https://hachioji-civictech.github.io/hachioji-wrap20/photo/2.jpg
3,35.657555,139.341174,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/003.jpg,88,"20,21",https://hachioji-civictech.github.io/hachioji-wrap20/photo/3.jpg
4,35.657660,139.340935,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/004.jpg,88,"22,0",https://hachioji-civictech.github.io/hachioji-wrap20/photo/4.jpg
5,35.657590,139.340645,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/005.jpg,88,25,https://hachioji-civictech.github.io/hachioji-wrap20/photo/5.jpg
6,35.6576676,139.3404493,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/006.jpg,88,"28,29",https://hachioji-civictech.github.io/hachioji-wrap20/photo/6.jpg
7,35.657602,139.340276,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/007.jpg,88,"23,24",https://hachioji-civictech.github.io/hachioji-wrap20/photo/7.jpg
8,35.657605,139.339690,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/008.jpg,88,"11,13",https://hachioji-civictech.github.io/hachioji-wrap20/photo/8.jpg
9,35.657922,139.339500,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/009.jpg,88,"15,16",https://hachioji-civictech.github.io/hachioji-wrap20/photo/9.jpg
10,35.658643,139.339519,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/010.jpg,88,"26,27",https://hachioji-civictech.github.io/hachioji-wrap20/photo/10.jpg
11,35.659070,139.339305,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/011.jpg,88,0,https://hachioji-civictech.github.io/hachioji-wrap20/photo/11.jpg
12,35.658657,139.339263,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/012.jpg,88,"7,17",https://hachioji-civictech.github.io/hachioji-wrap20/photo/12.jpg
13,35.658433,139.339262,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/013.jpg,88,"10,14",https://hachioji-civictech.github.io/hachioji-wrap20/photo/13.jpg
14,35.658762,139.339156,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/014.jpg,88,9,https://hachioji-civictech.github.io/hachioji-wrap20/photo/14.jpg
15,35.657969,139.339248,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/015.jpg,88,"12,8",https://hachioji-civictech.github.io/hachioji-wrap20/photo/15.jpg
16,35.657771,139.338510,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/016.jpg,88,"5,6",https://hachioji-civictech.github.io/hachioji-wrap20/photo/16.jpg
17,35.657837,139.338322,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/017.jpg,88,4,https://hachioji-civictech.github.io/hachioji-wrap20/photo/17.jpg
18,35.657784,139.338001,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/018.jpg,88,3,https://hachioji-civictech.github.io/hachioji-wrap20/photo/18.jpg
19,35.657688,139.337877,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/019.jpg,88,1,https://hachioji-civictech.github.io/hachioji-wrap20/photo/19.jpg
20,35.657784,139.337727,https://www.city.hachioji.tokyo.jp/shisei/003/004/p032720_d/img/020.jpg,88,2,https://hachioji-civictech.github.io/hachioji-wrap20/photo/20.jpg